Miesi¹c,Dane,PM1,PM2.5,PM10,Temperatura,Ciœnienie,Wilgotnoœæ,,Miesi¹c,Dane,PM1,PM2.5,PM10,Temperatura,Ciœnienie,Wilgotnoœæ
,statystyczne,,,,,,,,,statystyczne,,,,,,
Listopad,Œrednia,34.15,55.35,70.73,5.88,1017.50,73.45,,Listopad,Œrednia,49.28,82.46,101.58,8.14,1011.96,64.82
2021,,,,,,,,,2021,,,,,,,
,Odchylenie,9.83,17.69,22.29,2.75,11.33,9.40,,,Odchylenie,13.70,25.00,26.90,14.00,95.70,8.90
,standardowe,,,,,,,,,standardowe,,,,,,
,Wartoœci,0.00,0.00,0.00,-0.99,993.43,29.98,,,Wartoœci,0.00,0.00,0.00,3.88,-241.33,30.95
,minimalne,,,,,,,,,minimalne,,,,,,
,Wartoœci,66.00,109.00,141.00,17.46,1030.74,88.96,,,Wartoœci,91.00,170.00,202.00,187.14,1020.79,100.00
,maksymalne,,,,,,,,,maksymalne,,,,,,
Grudzieñ,Œrednia,32.47,52.12,66.60,3.65,1016.01,73.71,,Grudzieñ,Œrednia,35.88,58.84,74.48,8.35,979.28,74.48
2021,,,,,,,,,2021,,,,,,,
,Odchylenie,10.71,19.06,24.53,4.30,10.33,10.55,,,Odchylenie,17.67,33.61,41.45,31.45,212.25,11.14
,standardowe,,,,,,,,,standardowe,,,,,,
,Wartoœci,0.00,0.00,0.00,-8.81,993.43,29.98,,,Wartoœci,0.00,0.00,0.00,-11.13,-242.97,0.00
,minimalne,,,,,,,,,minimalne,,,,,,
,Wartoœci,66.00,109.00,147.00,17.46,1030.74,96.87,,,Wartoœci,224.00,581.00,854.00,187.14,1307.65,100.00
,maksymalne,,,,,,,,,maksymalne,,,,,,
Styczeñ,Œrednia,24.00,37.15,47.39,1.98,1022.79,70.70,,Styczeñ,Œrednia,25.32,39.65,50.40,1.90,1022.98,70.76
2022,,,,,,,,,2022,,,,,,,
,Odchylenie,13.04,22.05,28.83,3.53,9.81,10.56,,,Odchylenie,15.41,27.09,34.51,3.53,9.83,10.49
,standardowe,,,,,,,,,standardowe,,,,,,
,Wartoœci,0.00,0.00,0.00,-6.33,994.32,24.32,,,Wartoœci,0.00,0.00,0.00,-6.33,994.32,24.32
,minimalne,,,,,,,,,minimalne,,,,,,
,Wartoœci,66.00,109.00,147.00,14.19,1038.80,93.93,,,Wartoœci,141.00,332.00,450.00,14.19,1038.80,93.93
,maksymalne,,,,,,,,,maksymalne,,,,,,
Luty,Œrednia,21.31,32.67,41.39,3.61,1019.66,66.37,,Luty,Œrednia,22.59,35.09,44.28,3.81,1018.13,66.43
2022,,,,,,,,,2022,,,,,,,
,Odchylenie,13.73,22.95,29.65,3.98,10.35,13.14,,,Odchylenie,16.05,27.89,35.25,7.79,47.02,13.23
,standardowe,,,,,,,,,standardowe,,,,,,
,Wartoœci,0.00,0.00,0.00,-6.33,990.87,22.67,,,Wartoœci,0.00,0.00,0.00,-142.59,-242.10,0.00
,minimalne,,,,,,,,,minimalne,,,,,,
,Wartoœci,66.00,109.00,148.00,17.59,1038.80,100.00,,,Wartoœci,224.00,490.00,608.00,187.14,1303.55,100.00
,maksymalne,,,,,,,,,maksymalne,,,,,,
Marzec,Œrednia,24.53,37.95,47.82,4.25,1022.83,58.99,,Marzec,Œrednia,26.47,41.58,52.01,5.25,1022.14,57.05
2022,,,,,,,,,2022,,,,,,,
,Odchylenie,14.45,24.47,31.08,4.69,10.82,17.76,,,Odchylenie,17.70,31.70,39.57,8.11,38.03,19.39
,standardowe,,,,,,,,,standardowe,,,,,,
,Wartoœci,0.00,0.00,0.00,-6.59,990.87,10.03,,,Wartoœci,0.00,0.00,0.00,-142.59,-242.10,0.00
,minimalne,,,,,,,,,minimalne,,,,,,
,Wartoœci,66.00,109.00,148.00,17.59,1044.45,100.00,,,Wartoœci,286.00,702.00,948.00,187.14,1303.55,100.00
,maksymalne,,,,,,,,,maksymalne,,,,,,
